OBJECTID,SiteName,SiteNumber,Longitude,Latitude,Region,Sampling_Type,Location_Notes,x,y
1,Largs Bay Jetty,1000001,138.4827,-34.82386667,Metropolitan,Full scan (presence of all species),,138.4827,-34.82386667
2,Grange Jetty,1000002,138.4857833,-34.90266667,Metropolitan,Quick scan (presence of potentially harmful species),,138.4857833,-34.90266667
3,Glenelg Jetty,1000003,138.5080333,-34.9804999999999,Metropolitan,Full scan (presence of all species),,138.5080333,-34.9804999999999
4,O’Sullivan Beach Boat Ramp,1000004,138.46725,-35.11966667,Metropolitan,Quick scan (presence of potentially harmful species),,138.46725,-35.11966667
5,Onkaparinga Rowing Club,1000005,138.4719833,-35.1519999999999,Metropolitan,Quick scan (presence of potentially harmful species),,138.4719833,-35.1519999999999
6,Patawalonga King St Bridge,1000006,138.5128333,-34.9714999999999,Metropolitan,Quick scan (presence of potentially harmful species),,138.5128333,-34.9714999999999
7,Port River Dock One,1000007,138.5074667,-34.841,Metropolitan,Quick scan (presence of potentially harmful species),,138.5074667,-34.841
8,Port River Garden Island Boat Ramp,1000008,138.54025,-34.80466667,Metropolitan,Full scan (presence of all species),,138.54025,-34.80466667
9,Port River North Haven Boat Ramp,1000009,138.4867667,-34.79466667,Metropolitan,Quick scan (presence of potentially harmful species),,138.4867667,-34.79466667
10,Port River Outer Harbour Boat Ramp,1000010,138.4860833,-34.7739999999999,Metropolitan,Full scan (presence of all species),,138.4860833,-34.7739999999999
11,Port River St Kilda Boat Ramp,1000011,138.53585,-34.74333333,Metropolitan,Quick scan (presence of potentially harmful species),,138.53585,-34.74333333
12,West Lakes Inlet,1000012,138.4899333,-34.8938333299999,Metropolitan,Quick scan (presence of potentially harmful species),,138.4899333,-34.8938333299999
13,West Lakes Bartley Tce Footbridge,1000013,138.48845,-34.881,Metropolitan,Quick scan (presence of potentially harmful species),"Long term DIT monitoring site, but no longer sampled from the footbridge.  Point location has been updated to reflect current sampling location.",138.48845,-34.881
14,West Lakes Lochside Footbridge,1000014,138.4997333,-34.8753333299999,Metropolitan,Quick scan (presence of potentially harmful species),"Long term DIT monitoring site, but no longer sampled from the footbridge.  Point location has been updated to reflect current sampling location.",138.4997333,-34.8753333299999
15,West Lakes Exit,1000015,138.4983833,-34.8525,Metropolitan,Full scan (presence of all species),,138.4983833,-34.8525
16,West Beach Boat Ramp,1000016,138.5039667,-34.95783333,Metropolitan,Quick scan (presence of potentially harmful species),,138.5039667,-34.95783333
17,SARDI Caisson Intake,1000017,138.494697242,-34.95643574,Metropolitan,Quick scan (presence of potentially harmful species),,138.494697242,-34.95643574
18,Mundoo Barrage Upstream,11884,138.905548,-35.5416729999999,Ad hoc - Coorong,,,138.905548,-35.5416729999999
19,Mundoo Barrage Downstream,11885,138.905273,-35.541668,Regional - Coorong,,,138.905273,-35.541668
20,Parnka Point Boat Ramp,31513,139.395848,-35.9020229999999,Regional - Coorong,,,139.395848,-35.9020229999999
21,Stoney Well,31514,139.503803,-35.974997,Regional - Coorong,,,139.503803,-35.974997
22,Snipe Point,31515,139.604581,-36.110445,Regional - Coorong,,,139.604581,-36.110445
23,1.8km West Salt Creek,31517,139.620593,-36.132537,Regional - Coorong,,,139.620593,-36.132537
24,Mark Point,31522,139.075728,-35.6342349999999,Regional - Coorong,,,139.075728,-35.6342349999999
25,Long Point,31523,139.161775,-35.695781,Regional - Coorong,,,139.161775,-35.695781
26,Bonneys,31524,139.317545,-35.796612,Regional - Coorong,,,139.317545,-35.796612
27,Villa de Yumpa,31525,139.438969,-35.9281579999999,Regional - Coorong,,,139.438969,-35.9281579999999
28,Nth Jack Point,31526,139.54967,-36.037024,Regional - Coorong,,,139.54967,-36.037024
29,Salt Creek Outlet,31528,139.635705,-36.134558,Regional - Coorong,,,139.635705,-36.134558
30,Noonameena,53032,139.261728,-35.758163,Regional - Coorong,,,139.261728,-35.758163
31,Lake Alexandrina at 7km SE Milang,308742,139.03982,-35.43727,Ad hoc - Coorong,,,139.03982,-35.43727
32,Lake Alexandrina at Milang Jetty,3087421,138.97741,-35.40595,Ad hoc - Coorong,,,138.97741,-35.40595
34,Murray Mouth,351213,138.881804,-35.5566909999999,Regional - Coorong,,,138.881804,-35.5566909999999
35,Tauwitchere Barrage Downstream,353177,139.015597,-35.590186,Regional - Coorong,,,139.015597,-35.590186
36,Tauwitchere Barrage Upstream,353179,139.015651,-35.5897629999999,Ad hoc - Coorong,,,139.015651,-35.5897629999999
37,Sth Policeman Point,531012,139.583338,-36.085134,Regional - Coorong,,,139.583338,-36.085134
38,Lake Alexandrina at 4km West Pomanda Point,308741,139.26869,-35.4297599999999,Ad hoc - Coorong,,,139.26869,-35.4297599999999
39,Lake Alexandrina at Beacon 95,312651,139.06475,-35.51481,Ad hoc - Coorong,,,139.06475,-35.51481
